repository_id,commit_sha,stratum,workflow_source,working_directory,container_image,bootstrap_command,primary_command,health_criterion,timeout_seconds,approval_status,reviewer_notes
python-fastapi,6a0ba7bb1f5015383cdceb3822ca1abed6e32b82,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-django,cf889381ffec9220ca9d7a8eccef0e06b903fa38,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-requests,d64b9ad4bf1c14e21e0df3f0f4320fec81180e91,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -r requirements-dev.txt && python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-pytest,680f9f3ed3faaaa9a4fd1d8120618cd17cdee2d0,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-pydantic,ca31682bd9376283f28cc35f66110b7040e7602d,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-sqlalchemy,a2e79928a933ef3a55a976d07d65c2e7d8c4284c,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-celery,aef7f130e3ca547c49d3d581a831927458fc1a71,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-scrapy,fada8be1db6479e235d7e06afa057632dbc2adf1,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-tornado,f491e4c1914be0ac6635a0eacb3c978d89eec4f1,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-bottle,2a743a302a71460bfe4c0b8b7cb99a306b0328c6,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-starlette,b99bdf4fdde1f92191d7d7f65888cc5a559b41c0,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-sqlmodel,23b272d5f275a3d99944b4d869ac48cb5bc5a1d3,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-poetry,9be6dd6e75906312c5dc477907e6901fa81ae024,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-pip,75533e78a90bb68924e7341a26603337ceda52c6,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-virtualenv,736220190fbe6a5161f37c9a51df98ebb4837ea0,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-black,b74b23013fe6d0f7e0cee430a472ac70c5ba1334,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-flake8,bb943328eff3518ee193adbddffdfe15e239c3f7,python,setup.cfg,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-click,8a1b1a33d739be05b7e91251e3c0dde77c5e152f,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-link-shortener,b1cfa036f0475e56230563e271f027f901811c35,docker,docker-compose.yaml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-awesome-compose,30f4b7f6a6c3b0c0ecf4d4efb0de203c48d11562,docker,README,.,docker:29-cli,docker version,docker build -t setupbench-candidate .,image build exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-voting-app,63e9150ca17af4ed05880d4245e486481f73fcb4,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-swarm-visualizer,82bd6635313a8f92e50c3283dc7e2948859f3b5a,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-wordsmith,23c61bba9a4c163e5011a7072cbdfd07128acec0,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-node-board,4aaaa14f11cb9b45fe1a1b9db3edfdb5d9a4a13e,docker,README,.,docker:29-cli,docker version,docker build -t setupbench-candidate .,image build exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-dockercoins,fe827aa74c205169dbc11c0cc79fbe6d7dabe44a,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-django-postgres,20fd4ab8b9470846c033edcce1cc02c3a61df405,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-testcontainers-python,0976c7e7ec3455e90731c84d4ab65de378d350d7,docker,Dockerfile,.,docker:29-cli,docker version,docker build -t setupbench-candidate .,image build exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
docker-testcontainers-node,072e02b784d9170256812b7574a877f292665710,docker,docker-compose.yml,.,docker:29-cli,docker compose config,docker compose build,Compose config and image build exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
