repository_id,packet_path,packet_sha256,review_status
node-zod,dataset/annotations/workflow-review-packets/node-zod.md,1fc5ee6480203b728a3f8312416dd8f7983a3af26cfd1abf119cac319e14551b,pending
python-flask,dataset/annotations/workflow-review-packets/python-flask.md,45a3601c4b2abd0429ae2dbf4732e87afb39c32f4a105544fd94fb7695d7b415,pending
python-fastapi,dataset/annotations/workflow-review-packets/python-fastapi.md,93316959dafe3ba96a966e12051e4fa394c7a2e736ca2c3a95645586a9bd6a62,pending
python-django,dataset/annotations/workflow-review-packets/python-django.md,82d523c44c575777fef7305a1f4dd77024f06a1ca69d84991075746de3912066,pending
python-requests,dataset/annotations/workflow-review-packets/python-requests.md,856b350879678ce370166c1701e11b654a31a14dc099352e5de5afeba7c71b75,pending
python-httpx,dataset/annotations/workflow-review-packets/python-httpx.md,bc2d02305d51e0684c64d1a9a1f4f1a0d29ae2209ded511e5e1a41f35fa3d138,pending
python-pytest,dataset/annotations/workflow-review-packets/python-pytest.md,54fe1edb6a908bd4f9db0f34043fcabfea7e864b1ca702e0d22b2d4960cbb968,pending
python-pydantic,dataset/annotations/workflow-review-packets/python-pydantic.md,540ee34c2b865b9e66cf66ba55614047f3276b13efc9dd092ef0bfb38cef1d20,pending
python-sqlalchemy,dataset/annotations/workflow-review-packets/python-sqlalchemy.md,8237994ecc418f1f85ab9e5b4dd2d6522d1cb1bdd3396fd051e79bff5a617837,pending
python-celery,dataset/annotations/workflow-review-packets/python-celery.md,48cc3bd54ee99ab2ea85e439c711d63f22b2cc208f5ff548ad346a9295aed974,pending
python-scrapy,dataset/annotations/workflow-review-packets/python-scrapy.md,210011ca952fd6d72eab046fb18f7e113d89f6d4caab97bb0b0aca20a9cf4ec1,pending
python-tornado,dataset/annotations/workflow-review-packets/python-tornado.md,6a22e4f4228e9f5134bffc28ce8280274ba556af724713921c20c77ff9d99fcc,pending
python-bottle,dataset/annotations/workflow-review-packets/python-bottle.md,5b3f6a223c0426133b69d5a3935d6823ff26d6963363c3f51ba8d8d6ff35681d,pending
python-starlette,dataset/annotations/workflow-review-packets/python-starlette.md,8b0979475b6a9142396e124e58b0107edffb0656cb510d9927517df8feb1d858,pending
python-sqlmodel,dataset/annotations/workflow-review-packets/python-sqlmodel.md,d2982737b9dde9cdf080f6aaececedc096039018de7abd9364c2f6eb515ff66c,pending
python-poetry,dataset/annotations/workflow-review-packets/python-poetry.md,565e1c4a436927d8c7ce5542711b993ea00b7cdff2b243b0719c7d260c33ba00,pending
python-pip,dataset/annotations/workflow-review-packets/python-pip.md,b8a7804db6ec6b50a42fb8c6309b2502cb17a75f5aabcd3f55ca42fcb23493bc,pending
python-virtualenv,dataset/annotations/workflow-review-packets/python-virtualenv.md,c8801ae4f94056bc933fc54769c4c17678c224bdb99ae9549e050b3b9671a9bd,pending
python-black,dataset/annotations/workflow-review-packets/python-black.md,d47941bf4969fdadbb6d247dd1d575c3ced626a91139e713b8dea59338f13ca7,pending
python-flake8,dataset/annotations/workflow-review-packets/python-flake8.md,9404abccbb553cd8f16fb79be38dcfe68a286fdef95d03d76c1bf54ee4d232df,pending
python-click,dataset/annotations/workflow-review-packets/python-click.md,eebd47bc43413a7ae938fb696e25d4f6227db7c491cb5d77b39907383a5d40a8,pending
docker-link-shortener,dataset/annotations/workflow-review-packets/docker-link-shortener.md,51cb2d86d779630303f4e291fc4db7aa1416c8c6899eb8dddad3a44e9bef446e,pending
docker-awesome-compose,dataset/annotations/workflow-review-packets/docker-awesome-compose.md,abae4a20877a87ff000ee5e60880ace42c11bb628788b0173bd409e6e22a5cae,pending
docker-voting-app,dataset/annotations/workflow-review-packets/docker-voting-app.md,ba617e44f40e363c209967ee0fdce3963f119e8573768c4d599a98d4eaf4e808,pending
docker-swarm-visualizer,dataset/annotations/workflow-review-packets/docker-swarm-visualizer.md,99694b79d521f95d591995f69e19fd05cbd602ba8f0f295f92c91ee3fb7ab5fa,pending
docker-wordsmith,dataset/annotations/workflow-review-packets/docker-wordsmith.md,0004f7860803a9b10596564b7cae55f1d53e736146bfbeee699004f28315f11b,pending
docker-node-board,dataset/annotations/workflow-review-packets/docker-node-board.md,6ede57c0e7e3226e5f776a69b35cb8a0bd330fe6d9d7cb9ac1e65110deef383a,pending
docker-dockercoins,dataset/annotations/workflow-review-packets/docker-dockercoins.md,43caad89c7ae53c514b780abd3ad569ac0a10cf9ea36d6f5103a9fa9ab1db1f1,pending
docker-django-postgres,dataset/annotations/workflow-review-packets/docker-django-postgres.md,16f4f70e1693286674475299b125bd14c5d964b0753ce51382f1ba8019887cc4,pending
docker-testcontainers-python,dataset/annotations/workflow-review-packets/docker-testcontainers-python.md,a65393b5260fc3f45fd2d765202ab545f77cfe51a03d6f4a69d70d7f201f87b6,pending
docker-testcontainers-node,dataset/annotations/workflow-review-packets/docker-testcontainers-node.md,8eff490d1471371968bb1229c903c27142d42ba72bb08fb01b519d2c935ba8d2,pending
